"Scenario","Replication","StepScale","Success","PNIE","SelectedStartMediator","SelectedStartOutcome","CandidateRootsMediator","CandidateRootsOutcome"
"Asymmetric mixture",1,0.05,TRUE,-0.305011189732373,1,1,1,1
"Asymmetric mixture",1,0.1,TRUE,-0.305011189732373,1,1,1,1
"Asymmetric mixture",1,0.2,TRUE,-0.305011189732373,1,1,1,1
"Symmetric bimodal",1,0.05,TRUE,-0.377792482834225,1,1,1,1
"Symmetric bimodal",1,0.1,TRUE,-0.377792482834225,1,1,1,1
"Symmetric bimodal",1,0.2,TRUE,-0.377792482834225,1,1,1,1
"Asymmetric mixture",2,0.05,TRUE,-0.302862941392149,1,1,1,1
"Asymmetric mixture",2,0.1,TRUE,-0.302862941392149,1,1,1,1
"Asymmetric mixture",2,0.2,TRUE,-0.302862941392149,1,1,1,1
"Symmetric bimodal",2,0.05,TRUE,-0.345872478303733,1,1,1,1
"Symmetric bimodal",2,0.1,TRUE,-0.345872478303733,1,1,1,1
"Symmetric bimodal",2,0.2,TRUE,-0.345872478303733,1,1,1,1
"Asymmetric mixture",3,0.05,TRUE,-0.334229727877493,1,1,1,1
"Asymmetric mixture",3,0.1,TRUE,-0.334229727877493,1,1,1,1
"Asymmetric mixture",3,0.2,TRUE,-0.334229727877493,1,1,1,1
"Symmetric bimodal",3,0.05,TRUE,-0.271014609447206,1,1,1,1
"Symmetric bimodal",3,0.1,TRUE,-0.271014609447206,1,1,1,1
"Symmetric bimodal",3,0.2,TRUE,-0.271014609447206,1,1,1,1
"Asymmetric mixture",4,0.05,TRUE,-0.288342862938788,1,1,1,1
"Asymmetric mixture",4,0.1,TRUE,-0.288342862938788,1,1,1,1
"Asymmetric mixture",4,0.2,TRUE,-0.288342862938788,1,1,1,1
"Symmetric bimodal",4,0.05,TRUE,-0.328882569053092,1,1,1,1
"Symmetric bimodal",4,0.1,TRUE,-0.328882569053092,1,1,1,1
"Symmetric bimodal",4,0.2,TRUE,-0.328882569053092,1,1,1,1
"Asymmetric mixture",5,0.05,TRUE,-0.324827359296646,1,1,1,1
"Asymmetric mixture",5,0.1,TRUE,-0.324827359296646,1,1,1,1
"Asymmetric mixture",5,0.2,TRUE,-0.324827359296646,1,1,1,1
"Symmetric bimodal",5,0.05,TRUE,-0.320123880805556,1,1,1,1
"Symmetric bimodal",5,0.1,TRUE,-0.320123880805556,1,1,1,1
"Symmetric bimodal",5,0.2,TRUE,-0.320123880805556,1,1,1,2
"Asymmetric mixture",6,0.05,FALSE,NA,NA,NA,NA,NA
"Asymmetric mixture",6,0.1,FALSE,NA,NA,NA,NA,NA
"Asymmetric mixture",6,0.2,FALSE,NA,NA,NA,NA,NA
"Symmetric bimodal",6,0.05,TRUE,-0.311925220338891,1,3,1,1
"Symmetric bimodal",6,0.1,TRUE,-0.311925220338891,1,5,1,2
"Symmetric bimodal",6,0.2,TRUE,-0.0385983313079366,1,4,1,1
"Asymmetric mixture",7,0.05,TRUE,-0.352192034627432,1,1,1,1
"Asymmetric mixture",7,0.1,TRUE,-0.352192034627432,1,1,1,1
"Asymmetric mixture",7,0.2,TRUE,-0.352192034627432,1,1,1,1
"Symmetric bimodal",7,0.05,TRUE,-0.328435576676453,1,1,1,1
"Symmetric bimodal",7,0.1,TRUE,-0.328435576676453,1,1,1,1
"Symmetric bimodal",7,0.2,TRUE,-0.328435576676453,1,1,1,1
"Asymmetric mixture",8,0.05,TRUE,-0.331972128866327,1,1,1,1
"Asymmetric mixture",8,0.1,TRUE,-0.331972128866327,1,1,1,1
