"Effect","Estimate","StdError","Lower","Upper","Method","SampleSize"
"PNIE",-0.0197776826245838,0.0151680224372669,-0.0495064603183224,0.00995109506915475,"OLS",899
"TNIE",-0.014033956856671,0.0111833614809062,-0.0359529425853396,0.00788502887199754,"OLS",899
"PNDE",-0.0419792497063732,0.044204823139375,-0.128619111002511,0.0446606115897646,"OLS",899
"TNDE",-0.0362355239384604,0.0437124853447499,-0.121910420888905,0.0494393730119843,"OLS",899
"TE",-0.0560132065630443,0.045913964127657,-0.146002922640716,0.0339765095146273,"OLS",899
"PNIE",-0.0122170807106801,0.0054997879533333,-0.0229964670218207,-0.00143769439953962,"Semiparametric",899
"TNIE",-0.009444514701842,0.00429412498499848,-0.0178608450175526,-0.00102818438613138,"Semiparametric",899
"PNDE",-0.02330590433796,0.0325267738365936,-0.0870572095909632,0.0404454009150432,"Semiparametric",899
"TNDE",-0.0205333383291219,0.030509803733769,-0.0803314548226947,0.039264778164451,"Semiparametric",899
"TE",-0.032750419039802,0.032478154745873,-0.0964064326260317,0.0309055945464277,"Semiparametric",899
"PNIE",-0.0195991395541866,NA,-0.0527509684838168,0.00979743632994987,"Imai quasi-Bayes",899
"TNIE",-0.0138585862852149,NA,-0.0366453921403552,0.00698543467818821,"Imai quasi-Bayes",899
"PNDE",-0.0419989470941064,NA,-0.127913017252874,0.0443058084979836,"Imai quasi-Bayes",899
"TNDE",-0.0362583938251348,NA,-0.122914431190178,0.050356459896681,"Imai quasi-Bayes",899
"TE",-0.0558575333793214,NA,-0.14410843077848,0.034330542615126,"Imai quasi-Bayes",899
"PNIE",-0.0197776826245839,NA,-0.0510619076942389,0.00960821698868238,"Imai bootstrap",899
"TNIE",-0.0140339568566712,NA,-0.0392078420937065,0.00613700730370597,"Imai bootstrap",899
"PNDE",-0.0421915588503605,NA,-0.131280499886065,0.0458598583967038,"Imai bootstrap",899
"TNDE",-0.0364478330824476,NA,-0.122242032982026,0.0523897826210373,"Imai bootstrap",899
"TE",-0.0562255157070316,NA,-0.144916081489091,0.0310713199014234,"Imai bootstrap",899
"PNIE",-0.0203088110108605,0.0152981305479431,-0.0502925959156209,0.00967497389389992,"medflex NEM",899
"TNIE",-0.0138622040147477,0.0111515563470007,-0.035718852826438,0.0079944447969427,"medflex NEM",899
"PNDE",-0.0424483584237515,0.0442404370291197,-0.129158021661138,0.0442613048136353,"medflex NEM",899
"TNDE",-0.0360017514276387,0.0437057027089356,-0.121663354656167,0.0496598518008897,"medflex NEM",899
"TE",-0.0563105624384992,0.0459491505108083,-0.146369242559894,0.0337481176828953,"medflex NEM",899
