"Equation","Method","Term","Estimate","StdError"
"Mediator","OLS","(Intercept)",3.67058490800849,0.136222221773335
"Mediator","OLS","T",0.0656150033625474,0.0499912209875502
"Mediator","OLS","econ_hard",0.0531624129121425,0.0249586692636083
"Mediator","OLS","sex",-0.0076373361559138,0.048227531873651
"Mediator","OLS","age",0.00458649167261348,0.00240368047807898
"Mediator","Semiparametric","(Intercept)",3.8614979021126,0.0692683026713861
"Mediator","Semiparametric","T",0.0725998016220046,0.0271602651625937
"Mediator","Semiparametric","econ_hard",0.0341137778438726,0.0123687033231833
"Mediator","Semiparametric","sex",0.0043951194966929,0.0232515753254929
"Mediator","Semiparametric","age",0.000741956077699665,0.00121383260773042
"Outcome","OLS","(Intercept)",2.4456839189023,0.218851932273796
"Outcome","OLS","T",-0.392087172343326,0.260275526423485
"Outcome","OLS","M",-0.301420126663787,0.0526781145029794
"Outcome","OLS","econ_hard",0.15017236594921,0.0213347085467698
"Outcome","OLS","sex",0.106102011568743,0.0406101039582774
"Outcome","OLS","age",0.000734267713047071,0.00191523616745246
"Outcome","OLS","T:M",0.0875367747247771,0.0624827523023475
"Outcome","Semiparametric","(Intercept)",2.18693845402223,0.181437813587909
"Outcome","Semiparametric","T",-0.175869658620553,0.219143123007747
"Outcome","Semiparametric","M",-0.168279808453047,0.0443914648073246
"Outcome","Semiparametric","econ_hard",0.0749768418575928,0.0150372063134007
"Outcome","Semiparametric","sex",0.0612101407507619,0.0256704798311434
"Outcome","Semiparametric","age",-0.000291064995810519,0.00126533218806675
"Outcome","Semiparametric","T:M",0.0381897187994215,0.0497112096489055
