"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Comparator",300,"Gaussian",1,"PNIE",-0.323053393567988,0.0991513326043825,-0.51738643449173,-0.128720352644247,"OLS"
"Comparator",300,"Gaussian",1,"TNIE",0.0376261534452217,0.0382836016936855,-0.0374083270728784,0.112660633963322,"OLS"
"Comparator",300,"Gaussian",1,"PNDE",0.927654638849067,0.147258601466953,0.639033083560102,1.21627619413803,"OLS"
"Comparator",300,"Gaussian",1,"TNDE",1.28833418586228,0.141385339457307,1.01122401258398,1.56544435914057,"OLS"
"Comparator",300,"Gaussian",1,"TE",0.965280792294289,0.138715309038782,0.693403782473933,1.23715780211464,"OLS"
"Comparator",300,"Gaussian",1,"PNIE",-0.348859228475783,0.107533921915704,-0.559621842546905,-0.138096614404662,"Semiparametric"
"Comparator",300,"Gaussian",1,"TNIE",0.0673418451644778,0.0859483186599239,-0.101113763940745,0.2357974542697,"Semiparametric"
"Comparator",300,"Gaussian",1,"PNDE",0.902205693087045,0.144146146076098,0.619684438267643,1.18472694790645,"Semiparametric"
"Comparator",300,"Gaussian",1,"TNDE",1.31840676672731,0.13655057963363,1.05077254857732,1.58604098487729,"Semiparametric"
"Comparator",300,"Gaussian",1,"TE",0.969547538251522,0.129094865904469,0.716526250489735,1.22256882601331,"Semiparametric"
"Comparator",300,"Gaussian",1,"PNIE",-0.322683870835356,NA,-0.521163546577286,-0.14619410522109,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",1,"TNIE",0.038142360907572,NA,-0.0274943751865883,0.122862421300954,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",1,"PNDE",0.926594838486006,NA,0.622127996010045,1.20242751463853,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",1,"TNDE",1.28742107022893,NA,0.983959905659702,1.5921449666786,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",1,"TE",0.964737199393578,NA,0.675470981346801,1.23204133680848,"Imai quasi-Bayes"
"Comparator",300,"Gaussian",1,"PNIE",-0.323053393567989,NA,-0.530580959762451,-0.133536387742258,"Imai bootstrap"
"Comparator",300,"Gaussian",1,"TNIE",0.0376261534452218,NA,-0.0251670527855151,0.124503711275773,"Imai bootstrap"
"Comparator",300,"Gaussian",1,"PNDE",1.016332215125,NA,0.637264304552351,1.22513595127053,"Imai bootstrap"
"Comparator",300,"Gaussian",1,"TNDE",1.37701176213822,NA,0.976321079231231,1.55778028926238,"Imai bootstrap"
"Comparator",300,"Gaussian",1,"TE",1.05395836857023,NA,0.680444699809521,1.24924856099977,"Imai bootstrap"
"Comparator",300,"Gaussian",1,"PNIE",-0.343183501809286,0.102099528557447,-0.543294900620402,-0.14307210299817,"medflex NEM"
"Comparator",300,"Gaussian",1,"TNIE",0.0461468237670942,0.0422711673112063,-0.0367031417473369,0.128996789281525,"medflex NEM"
"Comparator",300,"Gaussian",1,"PNDE",0.912183218424957,0.149745213589642,0.618687992932001,1.20567844391791,"medflex NEM"
"Comparator",300,"Gaussian",1,"TNDE",1.30151354400134,0.141991861140665,1.02321461006782,1.57981247793485,"medflex NEM"
"Comparator",300,"Gaussian",1,"TE",0.958330042192051,0.138870488804014,0.68614888562071,1.23051119876339,"medflex NEM"
"Comparator",300,"Skew-normal",1,"PNIE",-0.426678647677126,0.103759286351707,-0.63004311198805,-0.223314183366202,"OLS"
"Comparator",300,"Skew-normal",1,"TNIE",0.137347859299055,0.0504097115930944,0.0385466401055392,0.236149078492572,"OLS"
"Comparator",300,"Skew-normal",1,"PNDE",0.61969958873126,0.148593185990752,0.328462295841324,0.910936881621195,"OLS"
