"Study","SampleSize","Scenario","Replication","Method","Success"
"Comparator",300,"Gaussian",1,"OLS",TRUE
"Comparator",300,"Gaussian",1,"Semiparametric",TRUE
"Comparator",300,"Gaussian",1,"Imai quasi-Bayes",TRUE
"Comparator",300,"Gaussian",1,"Imai bootstrap",TRUE
"Comparator",300,"Gaussian",1,"medflex NEM",TRUE
"Comparator",300,"Skew-normal",1,"OLS",TRUE
"Comparator",300,"Skew-normal",1,"Semiparametric",TRUE
"Comparator",300,"Skew-normal",1,"Imai quasi-Bayes",TRUE
"Comparator",300,"Skew-normal",1,"Imai bootstrap",TRUE
"Comparator",300,"Skew-normal",1,"medflex NEM",TRUE
"Comparator",300,"Asymmetric mixture",1,"OLS",TRUE
"Comparator",300,"Asymmetric mixture",1,"Semiparametric",TRUE
"Comparator",300,"Asymmetric mixture",1,"Imai quasi-Bayes",TRUE
"Comparator",300,"Asymmetric mixture",1,"Imai bootstrap",TRUE
"Comparator",300,"Asymmetric mixture",1,"medflex NEM",TRUE
"Comparator",300,"Symmetric bimodal",1,"OLS",TRUE
"Comparator",300,"Symmetric bimodal",1,"Semiparametric",TRUE
"Comparator",300,"Symmetric bimodal",1,"Imai quasi-Bayes",TRUE
"Comparator",300,"Symmetric bimodal",1,"Imai bootstrap",TRUE
"Comparator",300,"Symmetric bimodal",1,"medflex NEM",TRUE
"Comparator",300,"Gaussian",2,"OLS",TRUE
"Comparator",300,"Gaussian",2,"Semiparametric",TRUE
"Comparator",300,"Gaussian",2,"Imai quasi-Bayes",TRUE
"Comparator",300,"Gaussian",2,"Imai bootstrap",TRUE
"Comparator",300,"Gaussian",2,"medflex NEM",TRUE
"Comparator",300,"Skew-normal",2,"OLS",TRUE
"Comparator",300,"Skew-normal",2,"Semiparametric",TRUE
"Comparator",300,"Skew-normal",2,"Imai quasi-Bayes",TRUE
"Comparator",300,"Skew-normal",2,"Imai bootstrap",TRUE
"Comparator",300,"Skew-normal",2,"medflex NEM",TRUE
"Comparator",300,"Asymmetric mixture",2,"OLS",TRUE
"Comparator",300,"Asymmetric mixture",2,"Semiparametric",TRUE
"Comparator",300,"Asymmetric mixture",2,"Imai quasi-Bayes",TRUE
"Comparator",300,"Asymmetric mixture",2,"Imai bootstrap",TRUE
"Comparator",300,"Asymmetric mixture",2,"medflex NEM",TRUE
"Comparator",300,"Symmetric bimodal",2,"OLS",TRUE
"Comparator",300,"Symmetric bimodal",2,"Semiparametric",TRUE
"Comparator",300,"Symmetric bimodal",2,"Imai quasi-Bayes",TRUE
"Comparator",300,"Symmetric bimodal",2,"Imai bootstrap",TRUE
"Comparator",300,"Symmetric bimodal",2,"medflex NEM",TRUE
"Comparator",300,"Gaussian",3,"OLS",TRUE
"Comparator",300,"Gaussian",3,"Semiparametric",TRUE
"Comparator",300,"Gaussian",3,"Imai quasi-Bayes",TRUE
"Comparator",300,"Gaussian",3,"Imai bootstrap",TRUE
"Comparator",300,"Gaussian",3,"medflex NEM",TRUE
"Comparator",300,"Skew-normal",3,"OLS",TRUE
"Comparator",300,"Skew-normal",3,"Semiparametric",TRUE
"Comparator",300,"Skew-normal",3,"Imai quasi-Bayes",TRUE
"Comparator",300,"Skew-normal",3,"Imai bootstrap",TRUE
"Comparator",300,"Skew-normal",3,"medflex NEM",TRUE
"Comparator",300,"Asymmetric mixture",3,"OLS",TRUE
"Comparator",300,"Asymmetric mixture",3,"Semiparametric",TRUE
"Comparator",300,"Asymmetric mixture",3,"Imai quasi-Bayes",TRUE
"Comparator",300,"Asymmetric mixture",3,"Imai bootstrap",TRUE
"Comparator",300,"Asymmetric mixture",3,"medflex NEM",TRUE
"Comparator",300,"Symmetric bimodal",3,"OLS",TRUE
