"Study","SampleSize","Scenario","Method","Effect","Replications","SuccessRate","Bias","RMSE","Coverage95","MonteCarloSE","AvgLength"
"Comparator",300,"Asymmetric mixture","Imai bootstrap","PNIE",500,1,-0.0036077145176398,0.0993808768472805,0.962,0.0085505555375075,0.389848855152513
"Comparator",300,"Asymmetric mixture","Imai bootstrap","TNIE",500,1,-0.000829568596137717,0.0437703908958222,0.91,0.0127984374046209,0.153312280733824
"Comparator",300,"Asymmetric mixture","Imai bootstrap","PNDE",500,1,0.0011155452581871,0.169809752773485,0.942,0.0104533248299285,0.609023850017571
"Comparator",300,"Asymmetric mixture","Imai bootstrap","TNDE",500,1,0.00389369117968908,0.153228337415258,0.966,0.00810481338464989,0.609969818372104
"Comparator",300,"Asymmetric mixture","Imai bootstrap","TE",500,1,0.000285976662049282,0.15631971956331,0.952,0.00955991631762538,0.566578401271257
"Comparator",300,"Asymmetric mixture","Imai quasi-Bayes","PNIE",500,1,-0.00367340780596461,0.0997158992240933,0.958,0.00897061870775924,0.390319243582967
"Comparator",300,"Asymmetric mixture","Imai quasi-Bayes","TNIE",500,1,-0.000810507938539234,0.04388791052426,0.936,0.0109456840809517,0.161444398784514
"Comparator",300,"Asymmetric mixture","Imai quasi-Bayes","PNDE",500,1,0.000604113146970778,0.15726474250744,0.952,0.00955991631762538,0.614117754591021
"Comparator",300,"Asymmetric mixture","Imai quasi-Bayes","TNDE",500,1,0.00346701301439607,0.142897204224227,0.964,0.0083311463797007,0.615904326174849
"Comparator",300,"Asymmetric mixture","Imai quasi-Bayes","TE",500,1,-0.000206394791568535,0.143117594963741,0.954,0.00936845771725528,0.572866434676902
"Comparator",300,"Asymmetric mixture","medflex NEM","PNIE",500,1,-0.00341150459477984,0.100844117642058,0.958,0.00897061870775924,0.394304316763327
"Comparator",300,"Asymmetric mixture","medflex NEM","TNIE",500,1,-0.00121593756691077,0.0488325395591572,0.9,0.0134164078649987,0.168679064516506
"Comparator",300,"Asymmetric mixture","medflex NEM","PNDE",500,1,0.00102396037581664,0.158952545712062,0.926,0.0117067501895274,0.575963934384921
"Comparator",300,"Asymmetric mixture","medflex NEM","TNDE",500,1,0.00321952740368559,0.142977049251605,0.948,0.00992935043192656,0.575026903628857
"Comparator",300,"Asymmetric mixture","medflex NEM","TE",500,1,-0.000191977191094223,0.142780609907587,0.93,0.0114105214604767,0.527147323216871
"Comparator",300,"Asymmetric mixture","OLS","PNIE",500,1,-0.0036077145176398,0.0993808768472804,0.962,0.0085505555375075,0.387870432317299
"Comparator",300,"Asymmetric mixture","OLS","TNIE",500,1,-0.000829568596137697,0.0437703908958222,0.884,0.0143208938268531,0.152122968675015
"Comparator",300,"Asymmetric mixture","OLS","PNDE",500,1,0.000804896337185644,0.156928289854196,0.928,0.0115599307956406,0.57180924376187
"Comparator",300,"Asymmetric mixture","OLS","TNDE",500,1,0.00358304225868767,0.142736994954769,0.952,0.00955991631762538,0.570779176381851
"Comparator",300,"Asymmetric mixture","OLS","TE",500,1,-2.46722589521329e-05,0.142983356508403,0.928,0.0115599307956406,0.526918438780553
"Comparator",300,"Asymmetric mixture","Semiparametric","PNIE",483,0.966,0.00198113632199993,0.0270940090704944,0.950310559006211,0.00988760862085259,0.0964239851211054
"Comparator",300,"Asymmetric mixture","Semiparametric","TNIE",483,0.966,-0.00125730679532575,0.0139790441970358,0.952380952380952,0.00968996342329143,0.0389285184698934
"Comparator",300,"Asymmetric mixture","Semiparametric","PNDE",483,0.966,-0.000287278517815013,0.072428291461065,0.933747412008282,0.0113172931103688,0.269495022642337
"Comparator",300,"Asymmetric mixture","Semiparametric","TNDE",483,0.966,-0.0035257216351408,0.0768441384516669,0.933747412008282,0.0113172931103688,0.269215821044201
"Comparator",300,"Asymmetric mixture","Semiparametric","TE",483,0.966,-0.00154458531314087,0.0719958117646459,0.93167701863354,0.0114800169872818,0.26396174880631
"Comparator",300,"Gaussian","Imai bootstrap","PNIE",500,1,-0.00280732884713696,0.0996212995887202,0.94,0.0106207344378814,0.383772901396914
