"Scenario","Method","Effect","Bias","RMSE","Coverage95","AvgLength","SuccessRate"
"Asymmetric mixture","OLS","ACME(0)",-0.00395613918185726,0.0984494864677935,0.948,0.387032663612173,1
"Gaussian","OLS","ACME(0)",0.00604380568440169,0.100317301973479,0.944,0.385278511203845,1
"Skew-normal","OLS","ACME(0)",8.86985398274356e-05,0.100311089826013,0.937,0.385868018051999,1
"Symmetric bimodal","OLS","ACME(0)",7.11893405908582e-05,0.0981622612099946,0.944,0.383654349866076,1
"Asymmetric mixture","Semiparametric","ACME(0)",0.000441994793343932,0.0245169053896099,0.942828485456369,0.0955603196215912,0.997
"Gaussian","Semiparametric","ACME(0)",0.0073304544464531,0.104531170250099,0.933,0.404246204128798,1
"Skew-normal","Semiparametric","ACME(0)",0.00189854505741279,0.0755462388069613,0.947,0.29886384664377,1
"Symmetric bimodal","Semiparametric","ACME(0)",0.00117066318717664,0.027360618818031,0.955911823647295,0.0989912741550953,0.998
"Asymmetric mixture","OLS","ACME(1)",0.000389696095638622,0.0388727979157935,0.908,0.156066848219685,1
"Gaussian","OLS","ACME(1)",-0.000656578018541657,0.041238801210515,0.917,0.158776606623748,1
"Skew-normal","OLS","ACME(1)",-0.00141641433632694,0.0419688788943924,0.902,0.158323849270861,1
"Symmetric bimodal","OLS","ACME(1)",0.00064217499938603,0.04074764804963,0.931,0.161551479825402,1
"Asymmetric mixture","Semiparametric","ACME(1)",-0.000286423452885031,0.0168649700719933,0.941825476429288,0.0389325103364799,0.997
"Gaussian","Semiparametric","ACME(1)",-0.000194066683699299,0.0431786801612594,0.918,0.167305175688952,1
"Skew-normal","Semiparametric","ACME(1)",-0.000537804754727867,0.0327115321134093,0.917,0.123899279173539,1
"Symmetric bimodal","Semiparametric","ACME(1)",0.000310336808509965,0.0197018029388097,0.937875751503006,0.041108773401069,0.998
"Asymmetric mixture","OLS","ADE(0)",-0.000801103436888764,0.145390279351546,0.948,0.567452251916929,1
"Gaussian","OLS","ADE(0)",-0.00897863012643312,0.152391889406127,0.94,0.568777186102523,1
"Skew-normal","OLS","ADE(0)",0.00315415258397066,0.144406026120388,0.944,0.569834509409784,1
"Symmetric bimodal","OLS","ADE(0)",-0.000964387523589039,0.146037764149124,0.949,0.56845981064393,1
"Asymmetric mixture","Semiparametric","ADE(0)",-0.0008418453289567,0.0674281670271262,0.940822467402207,0.260279693783507,0.997
"Gaussian","Semiparametric","ADE(0)",-0.00951006433728871,0.159642865507623,0.928,0.59382743541964,1
"Skew-normal","Semiparametric","ADE(0)",0.00199667062274886,0.114860583531243,0.955,0.458679017544516,1
"Symmetric bimodal","Semiparametric","ADE(0)",-0.000722556551092871,0.075362281021065,0.952905811623247,0.263254013126056,0.998
"Asymmetric mixture","OLS","ADE(1)",0.00354473184060701,0.146335075260676,0.948,0.567931796284676,1
"Gaussian","OLS","ADE(1)",-0.0156790138293765,0.149207308025355,0.947,0.569601921666525,1
"Skew-normal","OLS","ADE(1)",0.00164903970781622,0.150651138364679,0.947,0.569489122561028,1
"Symmetric bimodal","OLS","ADE(1)",-0.000393401864793934,0.142040719531966,0.951,0.56804148212025,1
"Asymmetric mixture","Semiparametric","ADE(1)",-0.00157026357518576,0.0690062741960193,0.940822467402207,0.260301648392073,0.997
"Gaussian","Semiparametric","ADE(1)",-0.0170345854674412,0.15516772025252,0.94,0.595763013353616,1
"Skew-normal","Semiparametric","ADE(1)",-0.000439679189391862,0.118475109466855,0.947,0.459844183600383,1
"Symmetric bimodal","Semiparametric","ADE(1)",-0.00158288292975962,0.0726582304614429,0.953907815631262,0.2630068904195,0.998
"Asymmetric mixture","OLS","ATE",-0.000411407341250239,0.135312376002558,0.95,0.52139518697338,1
"Gaussian","OLS","ATE",-0.00963520814497487,0.141218621350653,0.938,0.523331873020921,1
"Skew-normal","OLS","ATE",0.00173773824764364,0.13371436095937,0.941,0.523990554617458,1
"Symmetric bimodal","OLS","ATE",-0.000322212524203087,0.134097506829897,0.95,0.522311687624703,1
"Asymmetric mixture","Semiparametric","ATE",-0.00112826878184183,0.0680695781864707,0.939819458375125,0.254435277873694,0.997
"Gaussian","Semiparametric","ATE",-0.00970413102098809,0.147555683152147,0.93,0.546483683744649,1
"Skew-normal","Semiparametric","ATE",0.0014588658680209,0.106751667783348,0.954,0.427161266575276,1
"Symmetric bimodal","Semiparametric","ATE",-0.000412219742582998,0.0703796584978367,0.947895791583166,0.256688526622538,0.998
