"Study","SampleSize","Scenario","Replication","Effect","Estimate","StdError","Lower","Upper","Method"
"Main",200,"Symmetric bimodal",462,"PNIE",-0.4612961175003,0.145426865790759,-0.746327536834729,-0.176264698165872,"OLS"
"Main",200,"Symmetric bimodal",462,"TNIE",0.127201506589416,0.0590460654800477,0.011473344819729,0.242929668359103,"OLS"
"Main",200,"Symmetric bimodal",462,"PNDE",0.53900084585458,0.196102288437285,0.154647423231615,0.923354268477544,"OLS"
"Main",200,"Symmetric bimodal",462,"TNDE",1.1274984699443,0.193146447204065,0.748938389682462,1.50605855020613,"OLS"
"Main",200,"Symmetric bimodal",462,"TE",0.666202352443996,0.174563262021785,0.324064645857468,1.00834005903052,"OLS"
"Main",200,"Symmetric bimodal",462,"PNIE",-0.346424580117522,0.0292596604093055,-0.403772460719633,-0.289076699515411,"Semiparametric"
"Main",200,"Symmetric bimodal",462,"TNIE",0.100460352321842,0.0125679944092005,0.0758275359219083,0.125093168721776,"Semiparametric"
"Main",200,"Symmetric bimodal",462,"PNDE",0.572230750248333,0.0890332451284324,0.39772879636988,0.746732704126787,"Semiparametric"
"Main",200,"Symmetric bimodal",462,"TNDE",1.0191156826877,0.0908084154480932,0.841134458916284,1.19709690645911,"Semiparametric"
"Main",200,"Symmetric bimodal",462,"TE",0.672691102570175,0.0878177101020316,0.500571553565414,0.844810651574936,"Semiparametric"
"Main",500,"Asymmetric mixture",375,"PNIE",-0.307721269550156,0.0719085651147147,-0.44865946735495,-0.166783071745362,"OLS"
"Main",500,"Asymmetric mixture",375,"TNIE",0.0547539202336504,0.0241199999487292,0.00747958902703325,0.102028251440268,"OLS"
"Main",500,"Asymmetric mixture",375,"PNDE",0.741995402622406,0.10491446467349,0.536366830405066,0.947623974839746,"OLS"
"Main",500,"Asymmetric mixture",375,"TNDE",1.10447059240621,0.105589791221837,0.897518404476308,1.31142278033612,"OLS"
"Main",500,"Asymmetric mixture",375,"TE",0.796749322856056,0.0974576790360185,0.605735781928596,0.987762863783517,"OLS"
"Main",500,"Asymmetric mixture",375,"PNIE",-0.336748302601052,0.0192630288224325,-0.374503145326177,-0.298993459875927,"Semiparametric"
"Main",500,"Asymmetric mixture",375,"TNIE",0.0757552516373029,0.00694737306816058,0.0621386506365446,0.0893718526380612,"Semiparametric"
"Main",500,"Asymmetric mixture",375,"PNDE",0.652343025175544,0.0526334912964133,0.549183277853972,0.755502772497117,"Semiparametric"
"Main",500,"Asymmetric mixture",375,"TNDE",1.0648465794139,0.0551792229845718,0.956697289669234,1.17299586915856,"Semiparametric"
"Main",500,"Asymmetric mixture",375,"TE",0.728098276812847,0.0518870117336346,0.626401602549516,0.829794951076178,"Semiparametric"
"Main",200,"Gaussian",679,"PNIE",-0.383073172629686,0.135059729307007,-0.647785377833149,-0.118360967426224,"OLS"
"Main",200,"Gaussian",679,"TNIE",0.0638591475750728,0.0398037312044996,-0.0141547320360596,0.141873027186205,"OLS"
"Main",200,"Gaussian",679,"PNDE",0.669502345437192,0.182039625619818,0.312711235463194,1.02629345541119,"OLS"
"Main",200,"Gaussian",679,"TNDE",1.11643466564195,0.178585932362169,0.766412670066594,1.46645666121731,"OLS"
"Main",200,"Gaussian",679,"TE",0.733361493012265,0.169775640702114,0.400607351783909,1.06611563424062,"OLS"
"Main",200,"Gaussian",679,"PNIE",-0.365780093115663,0.122735376157657,-0.606337010013646,-0.12522317621768,"Semiparametric"
"Main",200,"Gaussian",679,"TNIE",0.0592373243652261,0.0330361545867396,-0.00551234881248119,0.123986997542933,"Semiparametric"
"Main",200,"Gaussian",679,"PNDE",0.677812309922038,0.171408385623038,0.341858047452731,1.01376657239134,"Semiparametric"
"Main",200,"Gaussian",679,"TNDE",1.10282972740293,0.176865796350418,0.756179136459112,1.44948031834674,"Semiparametric"
"Main",200,"Gaussian",679,"TE",0.737049634287264,0.158859978616588,0.425689797613949,1.04840947096058,"Semiparametric"
