"Study","SampleSize","Scenario","Replication","Method","Success"
"Main",200,"Symmetric bimodal",462,"OLS",TRUE
"Main",200,"Symmetric bimodal",462,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",375,"OLS",TRUE
"Main",500,"Asymmetric mixture",375,"Semiparametric",TRUE
"Main",200,"Gaussian",679,"OLS",TRUE
"Main",200,"Gaussian",679,"Semiparametric",TRUE
"Main",200,"Skew-normal",176,"OLS",TRUE
"Main",200,"Skew-normal",176,"Semiparametric",TRUE
"Main",500,"Skew-normal",334,"OLS",TRUE
"Main",500,"Skew-normal",334,"Semiparametric",TRUE
"Main",200,"Gaussian",352,"OLS",TRUE
"Main",200,"Gaussian",352,"Semiparametric",TRUE
"Main",200,"Skew-normal",916,"OLS",TRUE
"Main",200,"Skew-normal",916,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",34,"OLS",TRUE
"Main",500,"Asymmetric mixture",34,"Semiparametric",TRUE
"Main",500,"Skew-normal",492,"OLS",TRUE
"Main",500,"Skew-normal",492,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",900,"OLS",TRUE
"Main",200,"Asymmetric mixture",900,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",679,"OLS",TRUE
"Main",200,"Asymmetric mixture",679,"Semiparametric",TRUE
"Main",500,"Skew-normal",757,"OLS",TRUE
"Main",500,"Skew-normal",757,"Semiparametric",TRUE
"Main",500,"Gaussian",5,"OLS",TRUE
"Main",500,"Gaussian",5,"Semiparametric",TRUE
"Main",500,"Gaussian",574,"OLS",TRUE
"Main",500,"Gaussian",574,"Semiparametric",TRUE
"Main",200,"Gaussian",338,"OLS",TRUE
"Main",200,"Gaussian",338,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",646,"OLS",TRUE
"Main",500,"Symmetric bimodal",646,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",923,"OLS",TRUE
"Main",500,"Symmetric bimodal",923,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",634,"OLS",TRUE
"Main",200,"Asymmetric mixture",634,"Semiparametric",TRUE
"Main",200,"Gaussian",471,"OLS",TRUE
"Main",200,"Gaussian",471,"Semiparametric",TRUE
"Main",200,"Skew-normal",731,"OLS",TRUE
"Main",200,"Skew-normal",731,"Semiparametric",TRUE
"Main",500,"Skew-normal",994,"OLS",TRUE
"Main",500,"Skew-normal",994,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",872,"OLS",TRUE
"Main",200,"Asymmetric mixture",872,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",944,"OLS",TRUE
"Main",200,"Symmetric bimodal",944,"Semiparametric",TRUE
"Main",500,"Gaussian",764,"OLS",TRUE
"Main",500,"Gaussian",764,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",967,"OLS",TRUE
"Main",500,"Symmetric bimodal",967,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",225,"OLS",TRUE
"Main",500,"Symmetric bimodal",225,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",388,"OLS",TRUE
"Main",500,"Symmetric bimodal",388,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",53,"OLS",TRUE
"Main",500,"Symmetric bimodal",53,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",687,"OLS",TRUE
"Main",200,"Symmetric bimodal",687,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",687,"OLS",TRUE
"Main",200,"Asymmetric mixture",687,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",285,"OLS",TRUE
"Main",500,"Asymmetric mixture",285,"Semiparametric",TRUE
"Main",500,"Gaussian",668,"OLS",TRUE
"Main",500,"Gaussian",668,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",393,"OLS",TRUE
"Main",500,"Symmetric bimodal",393,"Semiparametric",TRUE
"Main",200,"Gaussian",971,"OLS",TRUE
"Main",200,"Gaussian",971,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",726,"OLS",TRUE
"Main",200,"Asymmetric mixture",726,"Semiparametric",TRUE
"Main",500,"Skew-normal",524,"OLS",TRUE
"Main",500,"Skew-normal",524,"Semiparametric",TRUE
"Main",200,"Gaussian",816,"OLS",TRUE
"Main",200,"Gaussian",816,"Semiparametric",TRUE
"Main",500,"Skew-normal",302,"OLS",TRUE
"Main",500,"Skew-normal",302,"Semiparametric",TRUE
"Main",200,"Gaussian",474,"OLS",TRUE
"Main",200,"Gaussian",474,"Semiparametric",TRUE
"Main",200,"Skew-normal",556,"OLS",TRUE
"Main",200,"Skew-normal",556,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",272,"OLS",TRUE
"Main",500,"Asymmetric mixture",272,"Semiparametric",TRUE
"Main",500,"Skew-normal",60,"OLS",TRUE
"Main",500,"Skew-normal",60,"Semiparametric",TRUE
"Main",200,"Skew-normal",126,"OLS",TRUE
"Main",200,"Skew-normal",126,"Semiparametric",TRUE
"Main",500,"Skew-normal",348,"OLS",TRUE
"Main",500,"Skew-normal",348,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",876,"OLS",TRUE
"Main",200,"Symmetric bimodal",876,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",991,"OLS",TRUE
"Main",200,"Asymmetric mixture",991,"Semiparametric",TRUE
"Main",500,"Symmetric bimodal",922,"OLS",TRUE
"Main",500,"Symmetric bimodal",922,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",817,"OLS",TRUE
"Main",500,"Asymmetric mixture",817,"Semiparametric",TRUE
"Main",200,"Skew-normal",51,"OLS",TRUE
"Main",200,"Skew-normal",51,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",187,"OLS",TRUE
"Main",500,"Asymmetric mixture",187,"Semiparametric",TRUE
"Main",500,"Asymmetric mixture",626,"OLS",TRUE
"Main",500,"Asymmetric mixture",626,"Semiparametric",TRUE
"Main",500,"Skew-normal",504,"OLS",TRUE
"Main",500,"Skew-normal",504,"Semiparametric",TRUE
"Main",200,"Skew-normal",636,"OLS",TRUE
"Main",200,"Skew-normal",636,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",680,"OLS",TRUE
"Main",200,"Asymmetric mixture",680,"Semiparametric",TRUE
"Main",200,"Asymmetric mixture",306,"OLS",TRUE
"Main",200,"Asymmetric mixture",306,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",408,"OLS",TRUE
"Main",200,"Symmetric bimodal",408,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",378,"OLS",TRUE
"Main",200,"Symmetric bimodal",378,"Semiparametric",TRUE
"Main",200,"Symmetric bimodal",147,"OLS",TRUE
"Main",200,"Symmetric bimodal",147,"Semiparametric",TRUE
"Main",200,"Skew-normal",747,"OLS",TRUE
"Main",200,"Skew-normal",747,"Semiparametric",TRUE
"Main",500,"Gaussian",893,"OLS",TRUE
"Main",500,"Gaussian",893,"Semiparametric",TRUE
"Main",500,"Skew-normal",471,"OLS",TRUE
