"Study","SampleSize","Scenario","Method","Effect","Replications","SuccessRate","Bias","RMSE","Coverage95","MonteCarloSE","AvgLength"
"Main",200,"Asymmetric mixture","OLS","PNIE",1000,1,0.000680467729137474,0.126206048373134,0.942,0.00739161687318817,0.474944173419027
"Main",200,"Asymmetric mixture","OLS","TNIE",1000,1,-0.00049348630863671,0.0501848262013888,0.895,0.00969407035254026,0.189526013179224
"Main",200,"Asymmetric mixture","OLS","PNDE",1000,1,0.00884198950155248,0.183396149198769,0.948,0.00702111102319284,0.701650096821194
"Main",200,"Asymmetric mixture","OLS","TNDE",1000,1,0.00766803546377821,0.186459125941633,0.933,0.00790638982089803,0.699142081895386
"Main",200,"Asymmetric mixture","OLS","TE",1000,1,0.00834850319291568,0.168339139401384,0.946,0.00714730718522718,0.646136235235243
"Main",200,"Asymmetric mixture","Semiparametric","PNIE",887,0.887,-0.00117997248785829,0.0550680963965922,0.940248027057497,0.00795857897724651,0.119988285289224
"Main",200,"Asymmetric mixture","Semiparametric","TNIE",887,0.887,0.000178314585784239,0.0212392466058965,0.939120631341601,0.00802849148076827,0.0504467403652802
"Main",200,"Asymmetric mixture","Semiparametric","PNDE",887,0.887,0.0022838154231614,0.0934480065575714,0.934611048478016,0.00830053016744706,0.331686233538354
"Main",200,"Asymmetric mixture","Semiparametric","TNDE",887,0.887,0.00364210249680381,0.0931620086795135,0.93348365276212,0.00836672981175831,0.333091757844524
"Main",200,"Asymmetric mixture","Semiparametric","TE",887,0.887,0.00246213000894553,0.0882004405536365,0.936865839909808,0.00816599473632616,0.326500376016704
"Main",200,"Gaussian","OLS","PNIE",1000,1,0.00281388817582172,0.121323768813448,0.947,0.00708456067798138,0.46670468270403
"Main",200,"Gaussian","OLS","TNIE",1000,1,0.0011465427222976,0.0531843167891772,0.925,0.00832916562447884,0.197395204869102
"Main",200,"Gaussian","OLS","PNDE",1000,1,-0.00176659457727395,0.177681649602713,0.95,0.00689202437604511,0.698445007912748
"Main",200,"Gaussian","OLS","TNDE",1000,1,-0.00343394003079814,0.176499875471078,0.946,0.00714730718522718,0.699010641056508
"Main",200,"Gaussian","OLS","TE",1000,1,-0.000620051854976445,0.161916042545557,0.949,0.00695693898205238,0.642708414996039
"Main",200,"Gaussian","Semiparametric","PNIE",1000,1,0.00353593941778541,0.129718708451543,0.932,0.00796090447122687,0.494578503978428
"Main",200,"Gaussian","Semiparametric","TNIE",1000,1,0.00112429813547393,0.0555694532435268,0.912,0.00895857131466843,0.209614024318002
"Main",200,"Gaussian","Semiparametric","PNDE",1000,1,-0.00236758785351782,0.191081834862515,0.934,0.00785136930732467,0.742394094006258
"Main",200,"Gaussian","Semiparametric","TNDE",1000,1,-0.00477922913582939,0.188551793301718,0.941,0.00745110730026082,0.740241163075531
"Main",200,"Gaussian","Semiparametric","TE",1000,1,-0.00124328971804399,0.174509609930444,0.938,0.00762600813007697,0.681724949896421
"Main",200,"Skew-normal","OLS","PNIE",1000,1,0.00487503134449421,0.121964304845012,0.945,0.00720936890441875,0.469212762649071
"Main",200,"Skew-normal","OLS","TNIE",1000,1,0.00086327541488104,0.0508968065736378,0.911,0.00900438781928011,0.194110931201038
"Main",200,"Skew-normal","OLS","PNDE",1000,1,-0.00134998621650592,0.184704958641772,0.936,0.0077397674383666,0.700715681837381
"Main",200,"Skew-normal","OLS","TNDE",1000,1,-0.00536174214611916,0.181062704235872,0.951,0.00682634602111555,0.700669334378946
"Main",200,"Skew-normal","OLS","TE",1000,1,-0.000486710801624953,0.17081774766461,0.937,0.00768316341099159,0.644676799566681
"Main",200,"Skew-normal","Semiparametric","PNIE",1000,1,0.00454796168657212,0.10002809762788,0.951,0.00682634602111555,0.38835237650248
"Main",200,"Skew-normal","Semiparametric","TNIE",1000,1,0.00158167062674334,0.0427955692232798,0.918,0.00867617427210864,0.162954482200931
"Main",200,"Skew-normal","Semiparametric","PNDE",1000,1,-0.00130293198737841,0.155358737930939,0.941,0.00745110730026082,0.594135350527975
"Main",200,"Skew-normal","Semiparametric","TNDE",1000,1,-0.00426922304720728,0.151708290147762,0.949,0.00695693898205238,0.596548592904572
"Main",200,"Skew-normal","Semiparametric","TE",1000,1,0.00027873863936486,0.143571880856722,0.936,0.0077397674383666,0.55271312991391
"Main",200,"Symmetric bimodal","OLS","PNIE",1000,1,0.00423325592688411,0.119150552354985,0.94,0.00750999334220744,0.469743990601397
"Main",200,"Symmetric bimodal","OLS","TNIE",1000,1,-0.00225015688239605,0.0504252410521638,0.902,0.00940191469861325,0.193358946298882
"Main",200,"Symmetric bimodal","OLS","PNDE",1000,1,0.0046879065472043,0.168611330500033,0.953,0.00669260786241059,0.69953500810428
"Main",200,"Symmetric bimodal","OLS","TNDE",1000,1,-0.00179550626207595,0.177167414177771,0.944,0.00727076337120113,0.698397658220196
"Main",200,"Symmetric bimodal","OLS","TE",1000,1,0.00243774966480814,0.156981875658483,0.957,0.00641490451994416,0.645521563268589
"Main",200,"Symmetric bimodal","Semiparametric","PNIE",921,0.921,5.92370234025638e-06,0.0343348596489084,0.92942453854506,0.00843925511011725,0.121076370288177
"Main",200,"Symmetric bimodal","Semiparametric","TNIE",921,0.921,-0.000239903253768633,0.0305181404691231,0.928338762214984,0.00849895598008982,0.0500844806064729
"Main",200,"Symmetric bimodal","Semiparametric","PNDE",921,0.921,0.00228820708587464,0.120222554124562,0.947882736156352,0.00732383067957792,0.334865531070487
"Main",200,"Symmetric bimodal","Semiparametric","TNDE",921,0.921,0.00204238012976566,0.114151070051726,0.933767643865364,0.00819454223282348,0.333793819806637
"Main",200,"Symmetric bimodal","Semiparametric","TE",921,0.921,0.00204830383210592,0.110172970589224,0.950054288816504,0.00717783543401318,0.327030175537515
