"Beta2","TruePNIE","Method","Replications","SuccessRate","RejectionRate","MonteCarloSE"
0,0,"OLS",1000,1,0.016,0.00396787096564392
0,0,"Semiparametric",1000,0.964,0.0560165975103734,0.0074063123739856
0.1,-0.026,"OLS",1000,1,0.052,0.00702111102319284
0.1,-0.026,"Semiparametric",1000,0.968,0.946280991735537,0.00724663475727289
0.2,-0.052,"OLS",1000,1,0.195,0.0125289664378192
0.2,-0.052,"Semiparametric",1000,0.962,1,0
0.3,-0.078,"OLS",1000,1,0.431,0.0156601085564564
0.3,-0.078,"Semiparametric",1000,0.958,1,0
0.4,-0.104,"OLS",1000,1,0.653,0.0150529399121899
0.4,-0.104,"Semiparametric",1000,0.96,1,0
